Date	Release	Version	Type	Description
26/01/2024	R2023a	1.51	Evolução	"Integração do plot na janela principal; visualização do perfil de terreno com Fresnel; análise customizada por emissão (DRIVE-TEST)."
14/11/2023	R2023a	1.39	BUG	"Correção no leitor RFlookBinV2 (mapa DRIVE-TEST)."
12/11/2023	R2023a	1.38	BUG	"Interpolação/extrapolação de coordenadas no appColetaV2; limitação de múltiplas janelas no DRIVE-TEST."
31/10/2023	R2023a	1.37	BUG	"Correções na leitura de arquivos e inclusão de emissões por ROI."
28/06/2023	R2023a	1.36	BUG	"Correção na prévia de relatório da CellPlan."
28/06/2023	R2023a	1.35	Evolução	"Edição manual da localidade, ajuste de truncamento de frequência, exportação JSON de emissões, nova classificação para exceções."
28/06/2023	R2023a	1.35	BUG	"Correções no módulo de consulta ao anateldb."
18/05/2023	R2023a	1.34	Infraestrutura	"Atualização do MATLAB para R2023a."
18/05/2023	R2023a	1.34	Evolução	"Mesclagem de monitorações contínuas; aviso ao fechar app com projeto aberto; mapeamento automático do Python; início do módulo anateldb."
18/05/2023	R2023a	1.34	BUG	"Correções nos módulos anateldb e no app principal (posicionamento da janela e leitura de arquivos)."
09/02/2023	R2021b	1.33	Evolução	"Novos modelos de relatórios (TEMPLATE) e nova base do ANATELDB."
30/11/2022	R2021b	1.32	Evolução	"Plot de persistência no modo PLAYBACK."
30/11/2022	R2021b	1.31	Evolução	"Leitor de arquivos da CellPlan; criação do módulo DRIVE-TEST; melhorias em TEMPLATE e ANATELDB."
12/08/2022	R2021b	1.24	BUG	"Correção em inclusão de emissões por ROI."
12/08/2022	R2021b	1.24	Evolução	"Criação do módulo anateldb; nova forma de classificação de emissões por ID do anateldb."
18/05/2022	R2021b	1.23	BUG	"Correção no JSON após edição do provável emissor."
18/05/2022	R2021b	1.22	BUG	"Correções no algoritmo de classificação e na geração de relatório sem emissões."
17/05/2022	R2021b	1.21	BUG	"Correção na atualização do anateldb."
17/05/2022	R2021b	1.20	Evolução	"Melhorias no leitor CRFS Bin, modo PLAYBACK, modularização de processos, detecção/classificação de emissões, e novos módulos auxiliares (incl. TEMPLATE para exportação HTML)."
28/12/2021	R2021b	1.13	Evolução	"Ajustes na inicialização do app."
28/12/2021	R2021b	1.13	BUG	"Correções em datatips e PATH ao executar via atalho."
16/12/2021	R2021b	1.12	BUG	"Parâmetro para controlar resolução de imagens no relatório."
07/12/2021	R2021b	1.11	BUG	"Correções em arquivos vazios e fluxo com poucos traços."
28/11/2021	R2021b	1.10	Infraestrutura	"Atualização do MATLAB para R2021b."
28/11/2021	R2021b	1.10	Evolução	"Remodelagem do modo PLAYBACK."
28/11/2021	R2021b	1.10	BUG	"Correção na leitura de arquivos .MAT."
01/10/2021	R2021a	1.07	BGU	"Correção no leitor CRFS Bin (EOF e CheckSum)."
20/09/2021	R2021a	1.04	BUG	"Correção na máscara para carga no Logger."
20/09/2021	R2021a	1.04	Evolução	"Aprimorado modo ARQUIVO: permite ignorar parâmetros ao unir fluxos de arquivos distintos."
20/09/2021	R2021a	1.04	Evolução	"Aprimorado modo EDIÇÃO DE FLUXOS: edição de dados de GPS mais completa."
20/09/2021	R2021a	1.04	Evolução	"Aprimorado modo EDIÇÃO DE FLUXOS: conversão de potência/tensão para campo elétrico."
20/09/2021	R2021a	1.04	Evolução	"AppAnálise integrado ao Fiscaliza: leitura de arquivos JSON de inspeção (espelho do relatório)."
11/08/2021	R2021a	1.02	Evolução	"Leitor Argus CSV agora lê ThreadID via campo 'Name'; metadado StepWidth é ignorado."
02/09/2021	R2021a	1.03	BUG	"Correção na conversão PARQUET-MAT no RFDataHub: remoção de registros sem descrição."
02/09/2021	R2021a	1.03	BUG	"Correção em falha que impedia edição de lista de exceções em certos casos."
02/09/2021	R2021a	1.03	BUG	"Correção em falha que impedia instalação da lib fiscaliza em cenários específicos."
11/08/2021	R2021a	1.02	BUG	"Correção no modo RELATÓRIO: análise finalizava incorretamente ao identificar picos na mesma frequência."
11/08/2021	R2021a	1.02	BUG	"Correção no modo PLAYBACK: ajuste de frequência do marcador falhava ao coincidir com outro marcador."
07/08/2021	R2021a	1.01	BUG	"Renderização de imagens define 'basic' (GPU) como padrão; pode ser alterado nas configurações."
07/08/2021	R2021a	1.01	BUG	"Análise de fluxos desconsidera descrição da antena para agrupamento entre fluxos semelhantes."
23/07/2021	R2021a	1.00	Versão inicial	"Versão inicial do appAnalise, compilada no MATLAB R2021a."
