Date	Release	Version	Type	Description
16/12/2021	R2021b	1.12	BUG	"Inclusão de parâmetro que possibilita o controle da resolução da imagem incluída no relatório (alterado o valor padrão da resolução de 200 para 120dpi)."
07/12/2021	R2021b	1.11	BUG	"Corrigido BUG que se manifestava quando lido arquivo vazio gerado pelo appColeta."
07/12/2021	R2021b	1.11	BUG	"Inclusão de condição que impede criação de waterfall quando fluxo possui apenas apenas três traços."
28/11/2021	R2021b	1.10	Infraestrutura	"Atualizado ambiente de desenvolvimento do MATLAB de R2021a para R2021b."
28/11/2021	R2021b	1.10	Evolução	"Remodelagem do modo PLAYBACK, proporcionando maior interação com o plot (zoom de região, datatip como emissão etc)."
28/11/2021	R2021b	1.10	BUG	"Corrigido BUG que se manifestava no processo de leitura de arquivo no formato .MAT. (Reporte GR01)."
01/10/2021	R2021a	1.07	BGU	"Ajuste no leitor do CRFS Bin, descartando blocos com EOF ou CheckSum inválidos."
20/09/2021	R2021a	1.04	BUG	"Corrigido BUG na geração de máscara para carga no Logger. (Reporte GR05)"
20/09/2021	R2021a	1.04	Evolução	"Evolução do modo ARQUIVO, possibilitando a definição dos parâmetros que são ignorados no processo de junção de fluxos de dados registrados em arquivos diferentes."
20/09/2021	R2021a	1.04	Evolução	"Evolução do modo EDIÇÃO DE FLUXOS, possibilitando edição mais completa das informações de GPS."
20/09/2021	R2021a	1.04	Evolução	"Evolução do modo EDIÇÃO DE FLUXOS, possibilitando conversão da unidade de medida (potência/tensão) para unidade de campo elétrico."
20/09/2021	R2021a	1.04	Evolução	"Evolução da integração appAnálise/Fiscaliza, possibilitando carga na inspeção de arquivo no formato JSON (""espelho"" das tabelas do relatório)."
02/09/2021	R2021a	1.03	BUG	"Corrigido BUG na conversão PARQUET-MAT do RFDataHub, buscando (e excluindo) eventuais registros sem descrição. (Reporte GR05)"
02/09/2021	R2021a	1.03	BUG	"Corrigido BUG que em condições específicas impedia edição da lista de exceções. (Reporte UO02.1)"
02/09/2021	R2021a	1.03	BUG	"Corrigido BUG que em condições específicas impedia a instalação da lib Python fiscaliza. (Reporte GR08)"
11/08/2021	R2021a	1.02	BUG	"Corrigido BUG que impedia que fosse finalizada análise de fluxo, no modo RELATÓRIO, quando identificados picos na mesma frequência (inseridos no modo PLAYBACK ou obtidos nos critérios 1 e 2, por exemplo)."
11/08/2021	R2021a	1.02	BUG	"Corrigido BUG que impedia ajuste frequência de marcador, no modo PLAYBACK, quando coincidia com a frequência de outro marcador."
11/08/2021	R2021a	1.02	Evolução	"Evolução do leitor Argus CSV, de forma que seja lida informação do ThreadID do fluxo, a exemplo do que ocorre no leitor do CRFS Bin. Para tanto, essa informação deve ser inserida no campo ""Name"", do ""Range Definition"", do arquivo de configuração Argus. Além disso, a partir de agora a informação do StepWidth indicada nos metadados é desconsiderada por não ser confiável."
07/08/2021	R2021a	1.01	BUG	"Definido como renderizador padrão de imagem o modo ""basic"" da GPU. É possível alterar essa propriedade no modo de configurações do appAnálise, trocando para o modo ""full"" ou a renderização por ""software""."
07/08/2021	R2021a	1.01	BUG	"Retirado da análise de fluxos compatíveis a informação descritiva da antena (por exemplo, fluxos gerados no appColeta de faixas idênticas, mas com antenas diferentes - uma ""Telecospic"" e outra ""Unlisted"" - serão agrupados)."
23/07/2021	R2021a	1.00	Versão inicial	"Disponibilizada versão inicial do appAnalise, compilado no MATLAB R2021a."
